lr-Adam,step,train/loss,epoch,val/loss,test/loss
0.0001,0,,,,
0.0001,49,,,,
,49,0.24685880541801453,0,,
0.0001,99,,,,
,99,0.2621243894100189,0,,
0.0001,149,,,,
,149,0.2605580985546112,0,,
0.0001,199,,,,
,199,0.2520495355129242,0,,
0.0001,249,,,,
,249,0.24723702669143677,0,,
0.0001,299,,,,
,299,0.25170060992240906,0,,
0.0001,349,,,,
,349,0.24472801387310028,0,,
0.0001,399,,,,
,399,0.24855972826480865,0,,
0.0001,449,,,,
,449,0.2514156401157379,0,,
0.0001,499,,,,
,499,0.25712233781814575,0,,
0.0001,549,,,,
,549,0.24892430007457733,0,,
,557,,0,0.20980975031852722,
0.0001,558,,,,
0.0001,599,,,,
,599,0.253935843706131,1,,
0.0001,649,,,,
,649,0.2596961557865143,1,,
0.0001,699,,,,
,699,0.25267165899276733,1,,
0.0001,749,,,,
,749,0.2456539124250412,1,,
0.0001,799,,,,
,799,0.23998746275901794,1,,
0.0001,849,,,,
,849,0.24562104046344757,1,,
0.0001,899,,,,
,899,0.23836013674736023,1,,
0.0001,949,,,,
,949,0.24273236095905304,1,,
0.0001,999,,,,
,999,0.229685977101326,1,,
0.0001,1049,,,,
,1049,0.24540573358535767,1,,
0.0001,1099,,,,
,1099,0.23537564277648926,1,,
,1115,,1,0.20229023694992065,
0.0001,1116,,,,
0.0001,1149,,,,
,1149,0.24202054738998413,2,,
0.0001,1199,,,,
,1199,0.253783643245697,2,,
0.0001,1249,,,,
,1249,0.23379139602184296,2,,
0.0001,1299,,,,
,1299,0.2510761618614197,2,,
0.0001,1349,,,,
,1349,0.247309610247612,2,,
0.0001,1399,,,,
,1399,0.23886089026927948,2,,
0.0001,1449,,,,
,1449,0.23960497975349426,2,,
0.0001,1499,,,,
,1499,0.24085187911987305,2,,
0.0001,1549,,,,
,1549,0.23841552436351776,2,,
0.0001,1599,,,,
,1599,0.24033376574516296,2,,
0.0001,1649,,,,
,1649,0.22734954953193665,2,,
,1673,,2,0.1975635439157486,
0.0001,1674,,,,
0.0001,1699,,,,
,1699,0.24159350991249084,3,,
0.0001,1749,,,,
,1749,0.2395947277545929,3,,
0.0001,1799,,,,
,1799,0.23548461496829987,3,,
0.0001,1849,,,,
,1849,0.22781869769096375,3,,
0.0001,1899,,,,
,1899,0.239729642868042,3,,
0.0001,1949,,,,
,1949,0.22550912201404572,3,,
0.0001,1999,,,,
,1999,0.24603290855884552,3,,
0.0001,2049,,,,
,2049,0.21410799026489258,3,,
0.0001,2099,,,,
,2099,0.23632986843585968,3,,
0.0001,2149,,,,
,2149,0.2289067804813385,3,,
0.0001,2199,,,,
,2199,0.22913837432861328,3,,
,2231,,3,0.19239374995231628,
0.0001,2232,,,,
0.0001,2249,,,,
,2249,0.24287210404872894,4,,
0.0001,2299,,,,
,2299,0.22851310670375824,4,,
0.0001,2349,,,,
,2349,0.2413734644651413,4,,
0.0001,2399,,,,
,2399,0.21912160515785217,4,,
0.0001,2449,,,,
,2449,0.23532365262508392,4,,
0.0001,2499,,,,
,2499,0.22776392102241516,4,,
0.0001,2549,,,,
,2549,0.23112499713897705,4,,
0.0001,2599,,,,
,2599,0.2275070995092392,4,,
0.0001,2649,,,,
,2649,0.23108668625354767,4,,
0.0001,2699,,,,
,2699,0.23419320583343506,4,,
0.0001,2749,,,,
,2749,0.2259320467710495,4,,
,2789,,4,0.18788239359855652,
0.0001,2790,,,,
0.0001,2799,,,,
,2799,0.22489915788173676,5,,
0.0001,2849,,,,
,2849,0.21916820108890533,5,,
0.0001,2899,,,,
,2899,0.23082654178142548,5,,
0.0001,2949,,,,
,2949,0.22433945536613464,5,,
0.0001,2999,,,,
,2999,0.22850285470485687,5,,
0.0001,3049,,,,
,3049,0.22210755944252014,5,,
0.0001,3099,,,,
,3099,0.21799412369728088,5,,
0.0001,3149,,,,
,3149,0.2200959026813507,5,,
0.0001,3199,,,,
,3199,0.22015050053596497,5,,
0.0001,3249,,,,
,3249,0.21945728361606598,5,,
0.0001,3299,,,,
,3299,0.220749169588089,5,,
,3347,,5,0.18417230248451233,
0.0001,3348,,,,
0.0001,3349,,,,
,3349,0.22126391530036926,6,,
0.0001,3399,,,,
,3399,0.2205761820077896,6,,
0.0001,3449,,,,
,3449,0.22388601303100586,6,,
0.0001,3499,,,,
,3499,0.2203429639339447,6,,
0.0001,3549,,,,
,3549,0.2216508835554123,6,,
0.0001,3599,,,,
,3599,0.2195611596107483,6,,
0.0001,3649,,,,
,3649,0.2182045578956604,6,,
0.0001,3699,,,,
,3699,0.2246265858411789,6,,
0.0001,3749,,,,
,3749,0.2258048951625824,6,,
0.0001,3799,,,,
,3799,0.21248726546764374,6,,
0.0001,3849,,,,
,3849,0.21482127904891968,6,,
0.0001,3899,,,,
,3899,0.21669283509254456,6,,
,3905,,6,0.17843812704086304,
0.0001,3906,,,,
0.0001,3949,,,,
,3949,0.21920306980609894,7,,
0.0001,3999,,,,
,3999,0.21408787369728088,7,,
0.0001,4049,,,,
,4049,0.22344692051410675,7,,
0.0001,4099,,,,
,4099,0.21164093911647797,7,,
0.0001,4149,,,,
,4149,0.22195442020893097,7,,
0.0001,4199,,,,
,4199,0.21906766295433044,7,,
0.0001,4249,,,,
,4249,0.2113131582736969,7,,
0.0001,4299,,,,
